name,grade,birth_date_hijri,death_date_hijri,reliability_grade
Sa'd ibn Mua'dh ( سعد بن معاذ بن النعمان ( رضي الله عنه,Comp.(RA) [1st Generation],,5.0,Thiqa
'Abdullah bin Zayd ( عبد الله بن زيد بن ثعلبة ( رضي الله عنه,Comp.(RA) [1st Generation],,32.0,Thiqa
'Abdullah ibn Rawaha ( عبد الله بن رواحة ( رضي الله عنه,Comp.(RA) [1st Generation],,8.0,Thiqa
Zayd ibn Thabit ( زيد بن ثابت بن الضحاك بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],10.0,55.0,Thiqa
Usamah ibn Zayd ( أسامة بن زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],7.0,54.0,Thiqa
Khadijah ( خديجة بنت خويلد ( رضي الله عنها,Comp.(RA),70.0,3.0,Thiqa
Sawda bint Zam'a ( سودة بنت زمعة ( رضي الله عنها,Comp.(RA) [1st Generation],25.0,55.0,Thiqa
'Aisha bint Abi Bakr ( أمّ المؤمنين عائشة بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],9.0,57.0,Thiqa
Hafsa bint Umar ( حفصة بنت عمر بن الخطاب أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],14.0,41.0,Thiqa
Zaynab bint Khazeemah ( زينب بنت خزيمة ( رضي الله عنها,Comp.(RA),26.0,4.0,Thiqa
Umm Salamah ( أم سلمة بنت أبي أمية ( رضي الله عنها,Comp.(RA) [1st Generation],25.0,62.0,Thiqa
Zaynab bint Jahsh ( زينب بنت جحش الأسدية أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],30.0,20.0,Thiqa
Juwayriya bint al-Harith ( جويرية بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],12.0,56.0,Thiqa
"Umm Habibah bint Abi Sufyan ( أم حبيبة ,رملة بنت أبي سفيان ( رضي الله عنها",Comp.(RA) [1st Generation],34.0,44.0,Thiqa
Safiyya bint Huyayy ( صفية بنت حيي بن أخطب ( رضي الله عنها,Comp.(RA) [1st Generation],13.0,52.0,Thiqa
Maymuna bint al-Harith ( ميمونة بنت الحارث بن حزن الهلالية ( رضي الله عنها,Comp.(RA) [1st Generation],20.0,61.0,Thiqa
Maria al-Qibtiyya ( مارية القبطية أم ولد ( رضي الله عنها,Comp.(RA),,16.0,Thiqa
Fatima bint Muhammad ( فاطمة الزهراء بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA) [1st Generation],16.0,11.0,Thiqa
Liala bint Abi Hathmah ( ليلى بنت أبي خثمة بن حذيفة ( رضي الله عنها,Comp.(RA),,,Thiqa
Sehlah bint Suhayl ( سهلة بنت سهيل بن عمرو ( رضي الله عنها,Comp.(RA),,,Thiqa
al-Khansa ( خنساء/ تماضر بنت عمرو ( رضي الله عنها,Comp.(RA),,24.0,Thiqa
al-Nahdiya ( النهدية ( رضي الله عنها,Comp.(RA),,,Thiqa
Arwa bint al-Harith ( أروى بنت الحارث ( رضي الله عنها,Comp.(RA),,,Thiqa
Asma bint 'Umays ( أسماء بنت عميس بن معد ( رضي الله عنها,Comp.(RA) [1st Generation],,40.0,Thiqa
Asma' bint Abi Bakr ( أسماء بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],27.0,73.0,Thiqa
Umm Atiyyah Ansariyah ( أم عطية الأنصارية ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Hamnah bint Jahsh ( حمنة بنت جحش الأسدية  ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Hind bint Awf ( هند / خولة بنت عوف بن زهير ( رضي الله عنها,Comp.(RA),,,Thiqa
Hind bint 'Utba b. Rabi'a b. 'Abd Shams ( هند بنت عتبة بن ربيعة بن عبد شمس ( رضي الله عنها,Comp.(RA),,30.0,Thiqa
Ruqayqa bint Abi Sayfi bin Hashim ( رقيقة بنت أبي صيفي بن هاشم ( رضي الله عنها,Comp.(RA),,,Thiqa
Khawlah bint Hakim ( خولة بنت حكيم بن أمية ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Fatima bint Asad ( فاطمة بنت أسد بن هاشم بن عبد مناف ( رضي الله عنها,Comp.(RA),65.0,4.0,Thiqa
Fatima bint al-Khattab ( فاطمة بنت الخطاب بن نفيل القرشية العدوية ( رضي الله عنها,Comp.(RA),,,Thiqa
"Umm 'Ammarah Nasaybah ( نسيبة بنت كعب ,أم عمارة ( رضي الله عنها",Comp.(RA) [1st Generation],,,Thiqa
Najiyah/'Atika/Fakhta bint al-Walid ( ناجية/عاتكة/فاختة بنت الوليد بن المغيرة ( رضي الله عنها,Comp.(RA),,,Thiqa
Qaraybah bint Abi Umayyah al-Sugra ( قريبة بنت أبي أمية ( رضي الله عنها,Comp.(RA),,,Thiqa
Faree'ah bint Malik ( فريعة بنت مالك بن سنان ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Umm Sulaym bint Milhan ( أم سليم بنت ملحان ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Asma' bint Yazid bin al-Sakan ( أسماء بنت يزيد بن السكن ( رضي الله عنها,Comp.(RA) [1st Generation],,63.0,Thiqa
Safiyya bint ‘Abd al-Muttalib ( صفية بنت عبد المطلب بن هاشم ( رضي الله عنها,Comp.(RA),50.0,18.0,Thiqa
Salma bint 'Umays ( سلمى بنت عميس بن معد ( رضي الله عنها,Comp.(RA),,,Thiqa
Umm al-Darda ( خيرة بنت أبي حدرد أم الدرداء ( رضي الله عنها,Comp.(RA),,34.0,Thiqa
Sirin ( سيرين أم ولد حسان بن ثابت ( رضي الله عنها,Comp.(RA),,,Thiqa
Sumayyah bint Khayyat ( سمية بنت خباط ( رضي الله عنها,Comp.(RA),,7.0,Thiqa
Thuwaybah ( ثويبة ( رضي الله عنها,Comp.(RA),,7.0,Thiqa
Umm Ruman ( أم رومان زينب بنت عامر ( رضي الله عنها,Comp.(RA) [1st Generation],37.0,6.0,Thiqa
Umamah bint Zainab ( أمامة بنت أبي العاص بن الربيع ( رضي الله عنها,Comp.(RA),,66.0,Thiqa
Umm Hakim ( أم حكيم بنت الحارث بن هشام بن المغيرة ( رضي الله عنها,Comp.(RA),,,Thiqa
Umm Kulthum bint Muhammad ( أم كلثوم بنت سيد البشر رسول الله ( رضي الله عنها,Comp.(RA),,9.0,Thiqa
Umm Kulthum bint 'Uqba ( أم كلثوم بنت عقبة بن أبي معيط ( رضي الله عنها,Comp.(RA) [3rd Generation],,,Thiqa
Asma bint Sa'id bin Zayd ( أسماء بنت سعيد بن زيد ( رضي الله عنها,Comp.(RA) [1st Generation],,,Thiqa
Zaynab bint Muhammad ( زينب بنت سيد ولد آدم محمد بن عبد الله ( رضي الله عنها,Comp.(RA),25.0,8.0,Thiqa
Zaynab bint 'Ali bin Abi Talib ( زينب بنت على بن أبي طالب ( رضي الله عنها,Comp.(RA),5.0,63.0,Thiqa
Umm Kulthum bint 'Ali bin Abi Talib ( أم كلثوم بنت علي بن أبي طالب ( رضي الله عنها,Comp.(RA),7.0,,Thiqa
al-'Abbas ibn 'Abd al-Muttalib ( العباس بن عبد المطلب بن هاشم ( رضي الله عنه,Comp.(RA) [1st Generation],57.0,32.0,Thiqa
Abu Salamah ( عبد الله بن عبد الأسد أبو سلمة ( رضي الله عنه,Comp.(RA) [1st Generation],,4.0,Thiqa
Ruqayyah bint Muhammad ( رقية بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA),25.0,2.0,Thiqa
'Abdullah bin Saalam ( عبد الله بن سلام بن الحارث أبو يوسف ( رضي الله عنه,Comp.(RA) [1st Generation],,43.0,Thiqa
Hadrad bin Abi Hadrad al-Aslami ( حدرد بن أبي حدرد ( رضي الله عنه,Comp.(RA) [1st Generation],,,Thiqa
'Abdullah bin Abi Hadrad al-Aslami ( عبد الله بن أبي حدرد ( رضي الله عنه,Comp.(RA),,71.0,Thiqa
'Abdullah ibn al-Zubayr ( عبد الله بن الزبير بن العوام ( رضي الله عنه,Comp.(RA) [1st Generation],1.0,73.0,Thiqa
'Abdur Rahman bin Abi Bakr ( عبد الرحمن بن أبي بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],,58.0,Thiqa
'Abdullah ibn Ja'far ( عبد الله بن جعفر بن أبي طالب ( رضي الله عنه,Comp.(RA) [1st Generation],1.0,80.0,Thiqa
Bukayr bin Shaddakh al-Laithi ( بكير - بكر بن الشداخ الليثي ( رضي الله عنه,Comp.(RA),,,Thiqa
'Abdullah bin Abi Bakr ( عبد الله بن أبي بكر ( رضي الله عنه,Comp.(RA),,12.0,Thiqa
"Abu Dujana, Simak bin Aus bin Kharasha ( سماك بن خرشة أبو دجانة الأنصاري ( رضي الله عنه",Comp.(RA),,12.0,Thiqa
